Date,Utilisateurs
21/12/2018,181
22/12/2018,218
23/12/2018,247
24/12/2018,217
25/12/2018,237
26/12/2018,312
27/12/2018,341
28/12/2018,325
29/12/2018,304
30/12/2018,315
31/12/2018,222
01/01/2019,244
02/01/2019,286
03/01/2019,305
04/01/2019,348
05/01/2019,334
06/01/2019,247
07/01/2019,269
08/01/2019,187
09/01/2019,222
10/01/2019,206
11/01/2019,184
12/01/2019,198
13/01/2019,247
14/01/2019,251
15/01/2019,188
16/01/2019,200
17/01/2019,209
18/01/2019,230
19/01/2019,207
20/01/2019,226
21/01/2019,215
22/01/2019,200
23/01/2019,221
24/01/2019,189
25/01/2019,177
26/01/2019,179
27/01/2019,194
28/01/2019,210
29/01/2019,207
30/01/2019,184
31/01/2019,176
01/02/2019,258
02/02/2019,290
03/02/2019,269
04/02/2019,242
05/02/2019,211
06/02/2019,211
07/02/2019,210
08/02/2019,194
09/02/2019,189
10/02/2019,233
11/02/2019,294
12/02/2019,257
13/02/2019,216
14/02/2019,166
15/02/2019,249
16/02/2019,218
17/02/2019,271
18/02/2019,261
19/02/2019,292
20/02/2019,282
21/02/2019,224
22/02/2019,207
23/02/2019,191
24/02/2019,287
25/02/2019,236
26/02/2019,203
27/02/2019,166
28/02/2019,176
01/03/2019,212
02/03/2019,144
03/03/2019,169
04/03/2019,181
05/03/2019,139
06/03/2019,73
